service_id,date,exception_type
SIR-FA2017-SI017-Weekday-08_C20,20251225,2
SIR-FA2017-SI017-Weekday-08_C20,20260101,2
SIR-FA2017-SI017-Weekday-08_C20,20260119,2
SIR-FA2017-SI017-Weekday-08_C20,20260216,2
SIR-FA2017-SI017-Weekday-08_C63,20251127,2
SIR-FA2017-SI017-Weekday-08_C63,20251209,2
SIR-FA2017-SI017-Weekday-08_C63,20251210,2
SIR-FA2017-SI017-Weekday-08_C63,20251211,2
SIR-FA2017-SI017-Weekday-08_C63,20251212,2
SIR-FA2017-SI017-Weekday-08_C63,20251225,2
SIR-FA2017-SI017-Weekday-08_C63,20260101,2
SIR-FA2017-SI017-Weekday-08_C63,20260119,2
SIR-FA2017-SI017-Weekday-08_C63,20260216,2
SIR-FA2017-SI017-Weekday-08_C64,20251127,2
SIR-FA2017-SI017-Weekday-08_C64,20251209,2
SIR-FA2017-SI017-Weekday-08_C64,20251210,2
SIR-FA2017-SI017-Weekday-08_C64,20251212,2
SIR-FA2017-SI017-Weekday-08_C64,20251225,2
SIR-FA2017-SI017-Weekday-08_C64,20260101,2
SIR-FA2017-SI017-Weekday-08_C64,20260119,2
SIR-FA2017-SI017-Weekday-08_C64,20260216,2
SIR-FA2017-SI017-Weekday-08_C65,20251127,2
SIR-FA2017-SI017-Weekday-08_C65,20251211,2
SIR-FA2017-SI017-Weekday-08_C65,20251212,2
SIR-FA2017-SI017-Weekday-08_C65,20251225,2
SIR-FA2017-SI017-Weekday-08_C65,20260101,2
SIR-FA2017-SI017-Weekday-08_C65,20260119,2
SIR-FA2017-SI017-Weekday-08_C65,20260216,2
SIR-FA2017-SI017-Weekday-08_C72,20251127,2
SIR-FA2017-SI017-Weekday-08_C72,20251209,2
SIR-FA2017-SI017-Weekday-08_C72,20251210,2
SIR-FA2017-SI017-Weekday-08_C72,20251225,2
SIR-FA2017-SI017-Weekday-08_C72,20260101,2
SIR-FA2017-SI017-Weekday-08_C72,20260119,2
SIR-FA2017-SI017-Weekday-08_C72,20260216,2
